city,name,stars,review_count,total_checkins,combined_score,rank
AB Edmonton,Ricci Hair Company,4.5,6,5,0.2703,1
AMBLER,Prive Salon - PA,3.0,9,2,0.1805,1
ARDMORE,NAPA Auto Parts,3.0,8,12,0.1805,1
AVON,Jack's Donuts - Avon,3.5,24,37,0.2115,1
Abington,2 Fat Dogs,5.0,85,26,0.3046,1
Abington,Arte Salon,5.0,52,20,0.3029,2
Abington,Tom & Sons Auto Repair,5.0,49,4,0.3026,3
Abington,The Junkluggers of Philadelphia & Montgomery County,5.0,40,0,0.3021,4
Abington,Emoji Sushi & Teriyaki,5.0,13,3,0.3007,5
Abington Township,Lorimer Park,4.5,7,21,0.2705,1
Abington Township,Iron Hill Brewery & Restaurant,4.0,223,347,0.2538,2
Abington Township,TerraVida Holistic Centers,4.0,21,7,0.2412,3
Affton,NexCore,5.0,7,46,0.3006,1
Affton,Mainstay Barber Parlour,5.0,6,1,0.3003,2
Affton,Sushi Hana,4.5,141,75,0.2779,3
Affton,Federhofer's Bakery,4.5,71,159,0.2747,4
Affton,SharpShooter Pit and Grill,4.5,59,105,0.2737,5
Afton,9 Mile Garden,4.0,50,96,0.2432,1
Alberta Park Industrial,Crosstown Autobody,2.0,5,1,0.1203,1
Aldan,Doug Yadevia's Piano Service & Lessons,5.0,5,0,0.3003,1
Aldan,Bernie's Pretzel Bakery,4.5,33,66,0.2721,2
Aldan,Pines Cafe,4.5,16,33,0.271,3
Aldan,Chris's Pizza,4.5,7,4,0.2704,4
Aldan,Penn Pines Diner,3.5,48,38,0.2128,5
Algiers,Domino's Pizza,1.5,28,14,0.0916,1
Aliso Viejo,Carolyn Rife Photography,5.0,9,1,0.3005,1
Alloway,Helen's Cafe and Gardens,4.0,5,1,0.2403,1
Alloway,Alloway Village Inn,3.5,13,28,0.2108,2
Almonesson,Auletto Caterers,4.0,16,38,0.2411,1
Alton,Beall Mansion An Elegant Bed & Breakfast,5.0,40,13,0.3022,1
Alton,Shake Rattle & Roll Drive In,5.0,13,3,0.3007,2
Alton,Alton Cracker Factory,5.0,10,4,0.3006,3
Alton,Alton Room Escape,5.0,9,0,0.3005,4
Alton,World's Tallest Man Statue,5.0,7,28,0.3005,5
Ambler,Ambler Theater,5.0,74,277,0.3055,1
Ambler,Advanced Chiropractic & Wellness Center,5.0,24,18,0.3014,2
Ambler,Total Performance Automotive,5.0,22,5,0.3012,3
Ambler,Ambler Beverage Exchange,5.0,20,18,0.3012,4
Ambler,Bungalow Organic Spa,5.0,17,4,0.3009,5
Andalusia,Chi Auto Repair,4.5,39,36,0.2723,1
Andalusia,The Andalusia Foundation,4.5,5,1,0.2703,2
Andalusia,Rita's Italian Ice,3.0,5,33,0.1805,3
Antioch,Shineworthy Tea,5.0,18,40,0.3012,1
Antioch,Get your Grub on,5.0,22,8,0.3012,2
Antioch,HMC Contracting,5.0,18,0,0.301,3
Antioch,Mr & Mrs Empanada,5.0,13,39,0.3009,4
Antioch,Bikini Beach Bar,5.0,12,23,0.3008,5
Apollo Beach,Zuzack Lawn Services,5.0,31,2,0.3016,1
Apollo Beach,Pinch A Penny Pool Patio Spa,5.0,14,54,0.3011,2
Apollo Beach,Faith Latin Cuisine,5.0,17,37,0.3011,3
Apollo Beach,The Mullet Shack,5.0,11,15,0.3007,4
Apollo Beach,Ohhh So Nifty,5.0,9,30,0.3006,5
Apollo beach,Sic Ink,4.5,9,2,0.2705,1
Apopka,Above The Rest Tree Service,2.5,5,0,0.1503,1
Arabi,St Bernard Indoor Shooting Center,5.0,66,167,0.3044,1
Arabi,40 Arpent Brewing,5.0,16,28,0.301,2
Arabi,Pirogue's Whiskey Bayou,5.0,8,10,0.3005,3
Arabi,Swan River Yoga Arabi CommUnity Center,5.0,6,11,0.3004,4
Arabi,Fry and Pie,4.5,175,204,0.2804,5
Arden,Oddporium,4.5,11,8,0.2706,1
Ardmore,Sesami,5.0,78,53,0.3044,1
Ardmore,Elegant Brow Bar,5.0,52,30,0.3029,2
Ardmore,Autana Authentic Venezuelan Food,5.0,53,23,0.3029,3
Ardmore,Pala'a Latin American Seafood,5.0,52,19,0.3029,4
Ardmore,Parlour Ice Cream,5.0,31,59,0.302,5
Arizona,Dream Dance,5.0,11,8,0.3006,1
Arnold,Arnold Smiles,5.0,24,11,0.3013,1
Arnold,STL Beds,5.0,21,4,0.3011,2
Arnold,K9 Packleader,5.0,13,0,0.3007,3
Arnold,Long John Silver's,5.0,10,9,0.3006,4
Arnold,Five Star Auto Body,5.0,12,0,0.3006,5
Arrington,New Approach School for Jewelers,4.0,5,8,0.2403,1
Arrington,The Barn at Sycamore Farms,3.0,9,5,0.1805,2
Ashland,Don Pancho Mexican Restaurant-Ashland City,3.0,27,38,0.1816,1
Ashland City,Laredo's Burrito and Taco Shop,5.0,14,5,0.3008,1
Ashland City,Sheyegirl Coffee,5.0,13,19,0.3008,2
Ashland City,Marrowbone Creek Brewing,5.0,11,10,0.3006,3
Ashland City,Cody's Diner,4.5,36,20,0.272,4
Ashland City,Mama D's,4.5,13,6,0.2707,5
Aston,Five Paws of Delaware County,5.0,19,0,0.301,1
Aston,Innovative Muscle Therapy & Pain Center,5.0,15,0,0.3008,2
Aston,Fine Tree Care,5.0,10,0,0.3005,3
Aston,Trishs Cleaning Service,5.0,5,2,0.3003,4
Aston,Ryan's Country Store,5.0,5,4,0.3003,5
Atco,Brotherton Brewing Company,5.0,6,19,0.3004,1
Atco,Iryna Shostak Photography,5.0,5,0,0.3003,2
Atco,Amalthea Cellars Farm Winery,4.5,53,69,0.2732,3
Atco,Tech To Trade Computer Repair & Trading Post,4.5,12,3,0.2707,4
Atco,HousePaws Mobile Veterinary Service of Atco,4.5,8,0,0.2704,5
Audubon,Desserts by Design,5.0,46,41,0.3027,1
Audubon,"Cousin’s Deli, Grill & Catering",5.0,13,3,0.3007,2
Audubon,SoulBeat Spin And Barre Studio,5.0,12,7,0.3007,3
Audubon,The Fence Guy,5.0,10,0,0.3005,4
Audubon,Orangetheory Fitness Audubon,5.0,9,0,0.3005,5
Audubon ,LesbiVeggies,4.5,52,5,0.2728,1
Austin,Wildlife Wonders,2.0,9,1,0.1205,1
Avon,Danny's Mexican Ice Cream,5.0,85,73,0.3049,1
Avon,Seerat Kaur - Stiching House,5.0,46,8,0.3025,2
Avon,Trimz On a Whim,5.0,34,54,0.3021,3
Avon,Rise’n Roll Bakery,5.0,24,25,0.3014,4
Avon,Discount Tire,5.0,22,15,0.3012,5
Avondale,Taquito Feliz,5.0,8,3,0.3004,1
Avondale,London Grove Framing,5.0,5,0,0.3003,2
Avondale,The Avondale Spa,5.0,5,0,0.3003,3
Avondale,Cutone Mario Mushrooms,5.0,5,8,0.3003,4
Avondale,Glen Willow Orchards,5.0,5,7,0.3003,5
BOISE,Blimpie,2.5,5,12,0.1503,1
BOISE AP,Thrifty Car Rental,2.0,17,18,0.121,1
BRANDON,IHOP,2.5,54,114,0.1535,1
Bala Cynwyd,MdM Locksmith,5.0,49,1,0.3026,1
Bala Cynwyd,EcoLandscapes Design,5.0,34,0,0.3018,2
Bala Cynwyd,Bossy Brows,5.0,21,1,0.3011,3
Bala Cynwyd,Ultimate Health and Chiropractic Center,5.0,17,9,0.301,4
Bala Cynwyd,Berri Healthy,5.0,14,0,0.3007,5
Ballwin,Barrett Station Veterinary Clinic,5.0,24,22,0.3014,1
Ballwin,Dent Devil Ballwin,5.0,24,3,0.3013,2
Ballwin,Off The Leash Dog Grooming,5.0,16,8,0.3009,3
Ballwin,Novak Jewelers,5.0,14,7,0.3008,4
Ballwin,Twin Oaks Park,5.0,5,75,0.3007,5
Balm,Goodson Farms,4.5,104,144,0.2763,1
Balm,Premier Paver Restoration,4.5,6,0,0.2703,2
Bargersville,Our Table American Bistro,4.5,7,1,0.2704,1
Bargersville,Roku Sushi & Pho,4.0,71,34,0.2439,2
Bargersville,The Sycamore at Mallow Run,4.0,15,23,0.2409,3
Bargersville,McSwain's Smokehouse,3.0,8,6,0.1805,4
Barnhart,Karsch's village market,2.0,20,8,0.1211,1
Barrington,Rt Tree Service,5.0,5,0,0.3003,1
Barrington,Barrington Dental Associates,5.0,5,0,0.3003,2
Barrington,Chick-fil-A,5.0,5,6,0.3003,3
Barrington,Sushi House,4.5,60,71,0.2736,4
Barrington,Royal Fitness,4.5,18,247,0.2724,5
Barto,Holmes Farm,1.0,9,0,0.0605,1
Bayonet Point,Beacon Woods Florist,4.5,9,0,0.2705,1
Bayonet Point,Ollie's Bargain Outlet,4.0,13,8,0.2407,2
Bayonet Point,Get Hooked,4.0,5,2,0.2403,3
Bayonet Point,Denny's,3.0,38,42,0.1823,4
Bayonet Point,Tires Plus,2.0,12,2,0.1206,5
Bear,Tai Chi Spa,3.5,13,5,0.2107,1
Bear,Animal Veterinary Center,3.5,11,1,0.2106,2
Bear,School Bell Apartments,3.5,7,4,0.2104,3
Bear,Christiana Meadows,2.5,5,1,0.1503,4
Bear,Delaware Moving & Storage,1.5,21,0,0.0911,5
Beaumont,Sea Change Brewing,5.0,5,3,0.3003,1
Beaumont,Chartier,4.5,169,70,0.2793,2
Beaumont,Wild Wing,4.5,9,27,0.2706,3
Beaumont,Crepe & Shake Cafe,4.5,7,8,0.2704,4
Beaumont,Maina's Donair,4.0,12,10,0.2407,5
Beech Grove,Katsumi's Teaching Kitchen,5.0,21,15,0.3012,1
Beech Grove,D's Taps,5.0,7,42,0.3006,2
Beech Grove,Our Backyard Flower Shop,5.0,11,1,0.3006,3
Beech Grove,Scarlet Grove Pizza Pub,5.0,8,7,0.3005,4
Beech Grove,Southside Lock Service,5.0,5,0,0.3003,5
"Beech Grove,",Rosebud Flowers & Gifts Indianapolis,4.5,11,1,0.2706,1
Bel Ridge,QuikTrip,3.5,16,139,0.2116,1
Bellair,Stefanec's South Barber Shop,4.5,11,23,0.2707,1
Belle Chase,Domino's Pizza,3.5,13,22,0.2108,1
Belle Chase,PJ's Coffee,3.0,25,125,0.182,2
Belle Chasse,Take 5 Oil Change,5.0,16,29,0.301,1
Belle Chasse,We Blend Cafe,5.0,13,4,0.3007,2
Belle Chasse,NAS JRB Fitness Center,5.0,5,62,0.3006,3
Belle Chasse,Studio Health Medical Spa,5.0,5,1,0.3003,4
Belle Chasse,La23 Bbq,4.5,144,220,0.2789,5
Belle Meade,Sam's Place - Belle Meade,4.0,119,170,0.2473,1
Belle Meade,37 Degrees Sth,4.0,62,91,0.2438,2
Belle Meade,The Wine Chap,4.0,20,70,0.2415,3
Belle Meade,Harris Teeter,4.0,9,81,0.2409,4
Belle Meade,Office Depot,2.5,16,63,0.1512,5
Belleair,Kate Yoga,5.0,20,12,0.3011,1
Belleair,Belleview Inn,4.5,11,3,0.2706,2
Belleair,Belleair Country Club,4.0,9,86,0.241,3
Belleair,Mosquito Joe of Tampa Bay,3.5,9,0,0.2105,4
Belleair,Denker Paul S MD,3.5,5,1,0.2103,5
Belleair Beach,Belleair Beach,4.5,20,501,0.2739,1
Belleair Beach,Belleair Beach Resort Motel,3.5,18,22,0.2111,2
Belleair Beach,Belleair Beach Club,3.5,12,51,0.2109,3
Belleair Blf,Bluffs Animal Hospital,4.0,17,2,0.2409,1
Belleair Blf,Le Bouchon,3.5,15,9,0.2108,2
Belleair Blf,Scott's Custom Cleaners,3.5,6,2,0.2103,3
Belleair Blf,Cody's Original Roadhouse,2.5,160,385,0.1607,4
Belleair Bluffs,Illume Apparel,5.0,9,1,0.3005,1
Belleair Bluffs,Roxy's Frozen Yogurt Cafe,5.0,5,6,0.3003,2
Belleair Bluffs,Joanna Gerard Psychic,5.0,5,0,0.3003,3
Belleair Bluffs,Gold Sun Studios Photography,5.0,5,1,0.3003,4
Belleair Bluffs,Bender Chiropractic Center,5.0,6,2,0.3003,5
Belleair Blufs,Walk and Wag,4.5,7,0,0.2704,1
Bellefontaine,QuikTrip,3.0,9,411,0.1828,1
Bellefontaine Neighbors,White Castle,2.5,7,77,0.1508,1
Bellefonte,Bellefonte Arts,5.0,6,5,0.3003,1
Bellefonte,Rita's Italian Ice,4.0,9,21,0.2406,2
Belleville,Balance Coffee and Tea,5.0,69,91,0.3042,1
Belleville,BEAST Craft BBQ,4.5,583,496,0.3037,2
Belleville,C And C Food For Your Soul,5.0,12,6,0.3007,3
Belleville,Grappa Growlers,5.0,11,21,0.3007,4
Belleville,Nick and Vito's,5.0,10,10,0.3006,5
Belleville ,Romano's License Service,5.0,7,3,0.3004,1
Bellevue,Red Spirits & Wine,4.5,62,316,0.2751,1
Bellevue,Iroquois Wine & Spirits,4.5,16,47,0.2711,2
Bellevue,WIN Bubble Tea - Bellevue,4.5,7,2,0.2704,3
Bellevue,Publicity,4.0,233,400,0.2546,4
Bellevue,Penn Station East Coast Subs,4.0,56,154,0.2438,5
